"purchase-date";"valid-count";"valid-price";"valid-cost";"no-price-quant-count";"no-cost-count";"no-cost-price";"no-ord-track-nr-count";"no-ord-track-nr-price";"no-ord-track-nr-cost";"profit"
"2019-10-11";0;"0,00";"0,00";0;1;"33,46";0;"0,00";"0,00";"0,00"
"2019-10-12";0;"0,00";"0,00";0;3;"199,89";0;"0,00";"0,00";"0,00"
"2019-10-24";0;"0,00";"0,00";0;0;"0,00";1;"243,46";"152,04";"91,42"
"2019-10-25";0;"0,00";"0,00";0;1;"108,44";5;"401,05";"280,91";"120,14"
"2019-10-26";0;"0,00";"0,00";0;0;"0,00";1;"90,59";"59,95";"30,64"
"2019-10-27";0;"0,00";"0,00";0;0;"0,00";1;"36,26";"23,50";"12,76"
"2019-10-28";0;"0,00";"0,00";0;1;"76,72";2;"414,08";"316,28";"97,80"
"2019-10-29";0;"0,00";"0,00";0;0;"0,00";3;"185,50";"131,70";"53,80"
"2019-10-30";0;"0,00";"0,00";0;1;"61,90";5;"248,49";"148,74";"99,75"
"2019-10-31";0;"0,00";"0,00";0;3;"397,18";21;"995,45";"692,85";"302,60"
"2019-11-01";0;"0,00";"0,00";0;5;"683,28";42;"1389,61";"835,41";"554,20"
"2019-11-02";0;"0,00";"0,00";0;4;"246,49";51;"1982,89";"1303,89";"679,00"
"2019-11-03";0;"0,00";"0,00";0;8;"349,26";62;"2356,46";"1481,13";"875,33"
"2019-11-04";0;"0,00";"0,00";0;7;"526,92";53;"2325,80";"1610,84";"714,96"
"2019-11-05";0;"0,00";"0,00";0;6;"1137,08";57;"3049,35";"2080,01";"969,34"
"2019-11-06";0;"0,00";"0,00";0;5;"151,66";49;"2319,84";"1532,28";"787,56"
"2019-11-07";0;"0,00";"0,00";0;3;"635,70";54;"2943,16";"1990,67";"952,49"
"2019-11-08";0;"0,00";"0,00";0;10;"392,83";73;"3758,09";"2531,01";"1227,08"
"2019-11-09";0;"0,00";"0,00";0;5;"418,47";55;"2884,69";"1923,58";"961,11"
"2019-11-10";0;"0,00";"0,00";0;8;"829,04";54;"2303,27";"1476,22";"827,05"
